"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMLaboratoireExecutant","FRLMLaboratoireExecutant","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Laboratoire exécutant","Laboratoire exécutant","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FRLMLaboratoireExecutant.dateExecution","FRLMLaboratoireExecutant.dateExecution","","","",1,1,"","","","dateTime {[]} {[]}
","Date de l’exécution","Date de l’exécution","","","","","","","","","",,,,,"",,,,"FRLMLaboratoireExecutant.dateExecution",1,1,"",""
"FRLMLaboratoireExecutant.executant[x]","FRLMLaboratoireExecutant.executant[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMHealthProfessional {[]} {[]}
https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMOrganisation {[]} {[]}","Directeur du laboratoire","Directeur du laboratoire","","","","","","","","","",,,,,"",,,,"FRLMLaboratoireExecutant.executant[x]",1,1,"",""
