"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMAllergyIntolerance.header.status","FRLMAllergyIntolerance.header.status","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Statut clinique de l'allergie","Statut","","","","","","","","","",,"required","jdv-hl7-allergyintolerance-clinical-cisis (2.16.840.1.113883.4.642.3.1372)","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-allergyintolerance-clinical-cisis|20260716085851","",,,,"FRLMEntry.header.status",0,1,"",""
"FRLMAllergyIntolerance.header.source","FRLMAllergyIntolerance.header.source","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Source","Source","","","","","","","","","",,,,,"",,,,"FRLMEntry.header.source",0,1,"",""
"FRLMAllergyIntolerance.header.language","FRLMAllergyIntolerance.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","'fr-FR' pour français métropolitain (la casse des caractères doit être respectée)
La partie en minuscules indique le code de la langue utilisée (ISO-639-1)
La partie en majuscules indique le code pays (ISO-3166)","'fr-FR' pour français métropolitain (la casse des caractères doit être respectée)
La partie en minuscules indique le code de la langue utilisée (ISO-639-1)
La partie en majuscules indique le code pays (ISO-3166)","","","","","","","","","",,,,,"",,,,"FRLMEntry.header.language",0,1,"",""
"FRLMAllergyIntolerance.type","FRLMAllergyIntolerance.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Allergie / hypersensibilité non allergique / intolérance / idiosyncrasie","Allergie / hypersensibilité non allergique / intolérance / idiosyncrasie","","","","","","","","","",,"required"," jdv-type-event-indesirable-previsible-cisis (1.2.250.1.213.1.1.5.842)","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-type-evenement-indesirable-previsible-cisis|20260716085852","",,,,"FRLMAllergyIntolerance.type",1,1,"",""
"FRLMAllergyIntolerance.category","FRLMAllergyIntolerance.category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","food | medication | environment | biologic","food | medication | environment | biologic","","","","","","","","","",,"required","jdv-hl7-allergy-intolerance-category-cisis (2.16.840.1.113883.4.642.3.133)","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-allergy-intolerance-category-cisis|20260716085851","",,,,"FRLMAllergyIntolerance.category",1,1,"",""
"FRLMAllergyIntolerance.agentOrAllergen","FRLMAllergyIntolerance.agentOrAllergen","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Agent responsable
- Médicaments : CIP ou UCD
- Substances : SMS
- Aliments : CIM-11 Chapitre X Extensions – Allergènes ou substances non médicinales
- Agents environnementaux ou physiques : idem CIM-11 Chapitre X Extensions
- Allergènes pouvant induire une contre-indication vaccinale : jdv-allergie-vaccin-cisis","Agent responsable
- Médicaments : CIP ou UCD
- Substances : SMS
- Aliments : CIM-11 Chapitre X Extensions – Allergènes ou substances non médicinales
- Agents environnementaux ou physiques : idem CIM-11 Chapitre X Extensions
- Allergènes pouvant induire une contre-indication vaccinale : jdv-allergie-vaccin-cisis","","","","","","","","","",,,,,"",,,,"FRLMAllergyIntolerance.agentOrAllergen",1,1,"",""
"FRLMAllergyIntolerance.note","FRLMAllergyIntolerance.note","","","",0,1,"","","","string {[]} {[]}
","commentaire","commentaire","","","","","","","","","",,,,,"",,,,"FRLMAllergyIntolerance.note",0,1,"",""
"FRLMAllergyIntolerance.criticality","FRLMAllergyIntolerance.criticality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Criticité","Criticité","","","","","","","","","",,"required","jdv-hl7-allergy-intolerance-criticality-cisis (2.16.840.1.113883.4.642.3.129","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-allergy-intolerance-criticality-cisis|20260716085851","",,,,"FRLMAllergyIntolerance.criticality",0,1,"",""
"FRLMAllergyIntolerance.certainty","FRLMAllergyIntolerance.certainty","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Certitude","Certitude","","","","","","","","","",,"required","jdv-hl7-condition-ver-status-cisis (2.16.840.1.113883.4.642.3.166)","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-condition-ver-status-cisis|20260716085852","",,,,"FRLMAllergyIntolerance.certainty",0,1,"",""
"FRLMAllergyIntolerance.period","FRLMAllergyIntolerance.period","","","",1,1,"","","","Period {[]} {[]}
","Période","Période","","","","","","","","","",,,,,"",,,,"FRLMAllergyIntolerance.period",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
per-1:If present, start SHALL have a lower value than end {start.hasValue().not() or end.hasValue().not() or (start <= end)}"
"FRLMAllergyIntolerance.period.id","FRLMAllergyIntolerance.period.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"FRLMAllergyIntolerance.period.extension","FRLMAllergyIntolerance.period.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FRLMAllergyIntolerance.period.start","FRLMAllergyIntolerance.period.start","","","",0,1,"","","Y","dateTime {[]} {[]}
","Starting time with inclusive boundary","The start of the period. The boundary is inclusive.","If the low element is missing, the meaning is that the low boundary is not known.","","","","","","","","",,,,,"",,,,"Period.start",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FRLMAllergyIntolerance.period.end","FRLMAllergyIntolerance.period.end","","","",0,1,"","","Y","dateTime {[]} {[]}
","End time with inclusive boundary, if not ongoing","The end of the period. If the end of the period is missing, it means no end was known or planned at the time the instance was created. The start may be in the past, and the end date in the future, which means that period is expected/planned to end at that time.","The high value includes any matching date/time. i.e. 2012-02-03T10:00:00 is in a period that has an end value of 2012-02-03.","","","If the end of the period is missing, it means that the period is ongoing","","","","","",,,,,"",,,,"Period.end",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FRLMAllergyIntolerance.period.onsetDate","FRLMAllergyIntolerance.period.onsetDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date de début","Date de début","","","","","","","","","",,,,,"",,,,"FRLMAllergyIntolerance.period.onsetDate",0,1,"",""
"FRLMAllergyIntolerance.period.endDate","FRLMAllergyIntolerance.period.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date de fin","Date de fin","","","","","","","","","",,,,,"",,,,"FRLMAllergyIntolerance.period.endDate",0,1,"",""
"FRLMAllergyIntolerance.reaction","FRLMAllergyIntolerance.reaction","","","",0,*,"","","","Base {[]} {[]}
","Réaction observée","Réaction observée","","","","","","","","","",,,,,"",,,,"FRLMAllergyIntolerance.reaction",0,*,"",""
"FRLMAllergyIntolerance.reaction.agentOrAllergen","FRLMAllergyIntolerance.reaction.agentOrAllergen","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Agent responsable : - Substances : SMS","Agent responsable : - Substances : SMS","","","","","","","","","",,"required","SMS","","",,,,"FRLMAllergyIntolerance.reaction.agentOrAllergen",0,1,"",""
"FRLMAllergyIntolerance.reaction.manifestation","FRLMAllergyIntolerance.reaction.manifestation","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Manifestation
CIM-11 / Chapitre 04 Maladies du système immunitaire / Bloc Affections allergiques ou d'hypersen-sibilité","Manifestation
CIM-11 / Chapitre 04 Maladies du système immunitaire / Bloc Affections allergiques ou d'hypersen-sibilité","","","","","","","","","",,"required","CIM-11","","",,,,"FRLMAllergyIntolerance.reaction.manifestation",1,1,"",""
"FRLMAllergyIntolerance.reaction.severity","FRLMAllergyIntolerance.reaction.severity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Sévérité de la manifestion","Sévérité de la manifestion","","","","","","","","","",,"preferred","SNOMED_CT (preferred)","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-severite-observation-cisis|20260716085852","",,,,"FRLMAllergyIntolerance.reaction.severity",0,1,"",""
"FRLMAllergyIntolerance.reaction.period","FRLMAllergyIntolerance.reaction.period","","","",1,1,"","","","Period {[]} {[]}
","Période","Période","","","","","","","","","",,,,,"",,,,"FRLMAllergyIntolerance.reaction.period",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
per-1:If present, start SHALL have a lower value than end {start.hasValue().not() or end.hasValue().not() or (start <= end)}"
"FRLMAllergyIntolerance.reaction.period.id","FRLMAllergyIntolerance.reaction.period.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"FRLMAllergyIntolerance.reaction.period.extension","FRLMAllergyIntolerance.reaction.period.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FRLMAllergyIntolerance.reaction.period.start","FRLMAllergyIntolerance.reaction.period.start","","","",0,1,"","","Y","dateTime {[]} {[]}
","Starting time with inclusive boundary","The start of the period. The boundary is inclusive.","If the low element is missing, the meaning is that the low boundary is not known.","","","","","","","","",,,,,"",,,,"Period.start",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FRLMAllergyIntolerance.reaction.period.end","FRLMAllergyIntolerance.reaction.period.end","","","",0,1,"","","Y","dateTime {[]} {[]}
","End time with inclusive boundary, if not ongoing","The end of the period. If the end of the period is missing, it means no end was known or planned at the time the instance was created. The start may be in the past, and the end date in the future, which means that period is expected/planned to end at that time.","The high value includes any matching date/time. i.e. 2012-02-03T10:00:00 is in a period that has an end value of 2012-02-03.","","","If the end of the period is missing, it means that the period is ongoing","","","","","",,,,,"",,,,"Period.end",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FRLMAllergyIntolerance.reaction.period.onsetDate","FRLMAllergyIntolerance.reaction.period.onsetDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date de début","Date de début","","","","","","","","","",,,,,"",,,,"FRLMAllergyIntolerance.reaction.period.onsetDate",0,1,"",""
"FRLMAllergyIntolerance.reaction.period.endDate","FRLMAllergyIntolerance.reaction.period.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date de fin","Date de fin","","","","","","","","","",,,,,"",,,,"FRLMAllergyIntolerance.reaction.period.endDate",0,1,"",""
