"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMMedicationDispense.header.source","FRLMMedicationDispense.header.source","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Source","Source","","","","","","","","","",,,,,"",,,,"FRLMEntry.header.source",0,1,"",""
"FRLMMedicationDispense.header.language","FRLMMedicationDispense.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","'fr-FR' pour français métropolitain (la casse des caractères doit être respectée)
La partie en minuscules indique le code de la langue utilisée (ISO-639-1)
La partie en majuscules indique le code pays (ISO-3166)","'fr-FR' pour français métropolitain (la casse des caractères doit être respectée)
La partie en minuscules indique le code de la langue utilisée (ISO-639-1)
La partie en majuscules indique le code pays (ISO-3166)","","","","","","","","","",,,,,"",,,,"FRLMEntry.header.language",0,1,"",""
"FRLMMedicationDispense.receiver[x]","FRLMMedicationDispense.receiver[x]","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMPatient {[]} {[]}
https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMHealthProfessional {[]} {[]}https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMRelatedPerson {[]} {[]}","Identification de la personne ayant reçu le médicament délivré, notamment lorsqu'il ne s'agit pas du patient. Si non présent, le patient est considéré comme le destinataire.","Identification de la personne ayant reçu le médicament délivré, notamment lorsqu'il ne s'agit pas du patient. Si non présent, le patient est considéré comme le destinataire.","","","","","","","","","",,,,,"",,,,"FRLMMedicationDispense.receiver[x]",0,1,"",""
"FRLMMedicationDispense.relatedRequest","FRLMMedicationDispense.relatedRequest","","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/elementdefinition-identifier|5.3.0]]} {[]}
","Référence de la prescription","Référence de la prescription","","","","","","","","","",,,,,"",,,,"FRLMMedicationDispense.relatedRequest",0,*,"",""
"FRLMMedicationDispense.medicament","FRLMMedicationDispense.medicament","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMMedication {[]} {[]}
","Médicament délivré","Médicament délivré","","","","","","","","","",,,,,"",,,,"FRLMMedicationDispense.medicament",1,1,"",""
"FRLMMedicationDispense.dispensedQuantity","FRLMMedicationDispense.dispensedQuantity","","","",1,1,"","","","Quantity {[]} {[]}
","Quantite de produit. 
Nombre d'emballages distribués si leur format est connu, ou nombre d'articles/unités plus petits, selon le médicament distribué. Une unité est attendue.","Quantite de produit. 
Nombre d'emballages distribués si leur format est connu, ou nombre d'articles/unités plus petits, selon le médicament distribué. Une unité est attendue.","","","","","","","","","",,,,,"",,,,"FRLMMedicationDispense.dispensedQuantity",1,1,"",""
"FRLMMedicationDispense.timeOfDispensation","FRLMMedicationDispense.timeOfDispensation","","","",0,1,"","","","dateTime {[]} {[]}
","Date et heure de dispense du médicament. Si non présent, la date de dispensation est celle du header.","Date et heure de dispense du médicament. Si non présent, la date de dispensation est celle du header.","","","","","","","","","",,,,,"",,,,"FRLMMedicationDispense.timeOfDispensation",0,1,"",""
"FRLMMedicationDispense.substitutionOccurred","FRLMMedicationDispense.substitutionOccurred","","","",1,1,"","","","boolean {[]} {[]}
","Autorisation de substitution","Autorisation de substitution","","","","","","","","","",,,,,"",,,,"FRLMMedicationDispense.substitutionOccurred",1,1,"",""
"FRLMMedicationDispense.dosageInstructions","FRLMMedicationDispense.dosageInstructions","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMDosageInstructions {[]} {[]}
","Posologie","Posologie","","","","","","","","","",,,,,"",,,,"FRLMMedicationDispense.dosageInstructions",0,1,"",""
"FRLMMedicationDispense.note","FRLMMedicationDispense.note","","","",0,1,"","","","string {[]} {[]}
","Notes du dispensateur","Notes du dispensateur","","","","","","","","","",,,,,"",,,,"FRLMMedicationDispense.note",0,1,"",""
