"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMHumanName","FRLMHumanName","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Human Name","Modele logique metier - FR LM Human Name","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FRLMHumanName.use","FRLMHumanName.use","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Identifie le type de nom (ex : official, usual, etc.)","Identifie le type de nom (ex : official, usual, etc.)","","","","","","","","","",,"required","ValueSet HL7 name-use","http://hl7.org/fhir/ValueSet/name-use|4.0.1","",,,,"FRLMHumanName.use",0,1,"",""
"FRLMHumanName.text","FRLMHumanName.text","","","",0,1,"","","","string {[]} {[]}
","Nom complet tel qu'il doit etre affiche","Nom complet tel qu'il doit etre affiche","","","","","","","","","",,,,,"",,,,"FRLMHumanName.text",0,1,"",""
"FRLMHumanName.family","FRLMHumanName.family","","","",0,*,"","","","string {[]} {[]}
","Nom","Nom","","","","","","","","","",,,,,"",,,,"FRLMHumanName.family",0,*,"",""
"FRLMHumanName.given","FRLMHumanName.given","","","",0,*,"","","","string {[]} {[]}
","Prenom","Prenom","","","","","","","","","",,,,,"",,,,"FRLMHumanName.given",0,*,"",""
"FRLMHumanName.prefix","FRLMHumanName.prefix","","","",0,1,"","","","string {[]} {[]}
","Civilite","Civilite","","","","","","","","","",,"required","JDV_J245-Civilite-CISIS","https://mos.esante.gouv.fr/NOS/JDV_J245-Civilite-CISIS/FHIR/JDV-J245-Civilite-CISIS|20230331120000","",,,,"FRLMHumanName.prefix",0,1,"",""
"FRLMHumanName.suffix","FRLMHumanName.suffix","","","",0,1,"","","","string {[]} {[]}
","Titre","Titre","","","","","","","","","",,"required","JDV_J246-Titre-CISIS","https://mos.esante.gouv.fr/NOS/JDV_J246-Titre-CISIS/FHIR/JDV-J246-Titre-CISIS|20240126120000","",,,,"FRLMHumanName.suffix",0,1,"",""
"FRLMHumanName.period","FRLMHumanName.period","","","",0,1,"","","","Period {[]} {[]}
","Periode pendant laquelle ce nom est/etait utilisé","Periode pendant laquelle ce nom est/etait utilisé","","","","","","","","","",,,,,"",,,,"FRLMHumanName.period",0,1,"",""
