"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMBodyStructure","FRLMBodyStructure","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Body Structure","Localisation anatomique","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FRLMBodyStructure.morphology","FRLMBodyStructure.morphology","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type de structure représentée par la localisation anatomique. Peut décrire une morphologie normale ou anormale.","Type de structure représentée par la localisation anatomique. Peut décrire une morphologie normale ou anormale.","","","","","","","","","",,,,,"",,,,"FRLMBodyStructure.morphology",0,1,"",""
"FRLMBodyStructure.location","FRLMBodyStructure.location","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Site anatomique","Site anatomique","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"FRLMBodyStructure.location",0,1,"",""
"FRLMBodyStructure.locationQualifier","FRLMBodyStructure.locationQualifier","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Précision topographique (par exemple : supérieur, inférieur, distal, proximal).","Précision topographique (par exemple : supérieur, inférieur, distal, proximal).","","","","","","","","","",,"required","jdv-modificateur-topographique-cisis","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20260716085851","",,,,"FRLMBodyStructure.locationQualifier",0,*,"",""
"FRLMBodyStructure.description","FRLMBodyStructure.description","","","",0,1,"","","","string {[]} {[]}
","Description textuelle de la localisation anatomique","Description textuelle de la localisation anatomique","","","","","","","","","",,,,,"",,,,"FRLMBodyStructure.description",0,1,"",""
